"ID","circuorder","Water","VelocityID"
10245,0,207.186660766602,944
10249,0,231.33332824707,945
10253,0,255.720001220703,946
10257,0,280.3466796875,947
10261,0,305.213348388672,948
10265,0,330.320007324219,949
10269,0,355.666656494141,950
10273,0,381.253326416016,951
10437,0,407.079986572266,1010
10441,0,433.146667480469,1011
10493,0,459.453338623047,1025
10497,0,486,1026
10246,1,230.99333190918,944
10250,1,251.83332824707,945
10254,1,271.993347167969,946
10258,1,291.473327636719,947
10262,1,310.273345947266,948
10266,1,328.393341064453,949
10270,1,345.833343505859,950
10274,1,362.593322753906,951
10438,1,378.67333984375,1010
10442,1,394.073333740234,1011
10494,1,408.793334960938,1025
10498,1,422.833343505859,1026
10247,2,78.033332824707,944
10251,2,90.1666641235352,945
10255,2,101.900001525879,946
10259,2,113.233329772949,947
10263,2,124.166664123535,948
10267,2,134.699996948242,949
10271,2,144.83332824707,950
10275,2,154.566665649414,951
10439,2,163.899993896484,1010
10443,2,172.83332824707,1011
10495,2,181.366668701172,1025
10499,2,189.5,1026
10248,3,26.6066665649414,944
10252,3,44.1666679382324,945
10256,3,61.473331451416,946
10260,3,78.5266647338867,947
10264,3,95.3266677856445,948
10268,3,111.873336791992,949
10272,3,128.16667175293,950
10276,3,144.206665039063,951
10440,3,159.99333190918,1010
10444,3,175.526672363281,1011
10496,3,190.806671142578,1025
10500,3,205.83332824707,1026
